categoryid,parentid,categoryname,categoryorder,categoryvisible,alternateurl,lastmodified,category_displaymode,subcategory_displaymode1,subcategory_displaymode2,display_columns,display_rows,display_showlistprice,display_showsaleprice,display_showyousave,display_showdescriptionshort,display_showdescription,display_showstockstatus,display_showavailability,display_featuredproductsonly,subcategory_displaymode2_columns,rootid,metatag_title,metatag_description,default_sortby,link_title_tag,lastmodby,category_graphic_placement,subcategory_displaycolumns,filtercategory,auto_maintained_optioncatid,auto_maintained_optionid,private_section_customers_only,categorydescriptionshort,categorydescription,metatag_keywords,categorydescription_belowproducts,custom_where_clause,custom_metatags_override,alternateurl_opennewwindow,hidden,display_showpoints,vcompareoptout,breadcrumb,subcategory_displaymode1_responsive,subcategory_displaycolumns_responsive,category_displaymode_responsive,display_columns_responsive,subcategory_displaymode2_responsive,vendorcategory
"1477","0","Business & Tech","9","1","","3/16/2018 4:25:00 PM","6","1","","3","6","","Y","N","N","N","","","","","1477","Briefcase, Accessories, and Tech products | Luggage City","Shop various briefcases and travel accessories on Luggage City with a good price.","Popularity","Business and Tech","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Business & Tech</inline></h1>","","","","","N","N","","N","","1","3","7","5","",""
"1513","0","Handbags","17","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1513","Fashionable Leather Handbags in Toronto, Canada | Luggage City","Luggage city has a great collection of leather handbags in Toronto, Canada. Our fashionable leather purses are functional with multi pockets to keep you organized.","Popularity","Hangbags","772","","4","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Handbags</inline></h1>","leather handbags canada, online handbags canada, leather purses canada, leather bags canada","","","","N","N","","N","","0","3","7","5","",""
"1516","1477","Briefcase","0","","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1477","Leather Briefcase and Bags in Canada | Luggage City","Luggage City is a store of branded leather briefcase and bags in Toronto, Canada. We provide stylish functional briefcases and leather bags at competitive prices such as Samsonite & Kenneth Cole.","Popularity","Briefcase","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Briefcase</inline></h1>","leather briefcase canada, leather briefcase toronto, samsonite briefcase canada, leather bags canada","","","","N","N","","N","Business & Tech","0","3","7","5","",""
"1517","1477","Wheeled Briefcase","1","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1477","Wheeled Briefcase | Luggage City","","Popularity","Wheeled Briefcase","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Wheeled Briefcase</inline></h1>","","","","","N","N","","N","Business & Tech","0","3","7","5","",""
"1630","0","Shipping","1","3","/shipping-policy_a/57.htm","3/7/2018 12:10:00 PM","","","","","","","","N","","","","","","","1630","Shipping Policy | Luggage City","","","","772","","","N","","","N","","","","","","","N","N","","N","","0","3","7","5","",""
"1631","0","Returns","1","3","/returns.asp","3/7/2018 12:10:00 PM","","","","","","","","N","","","","","","","1631","Return Policy | Luggage City","","","","772","","","N","","","N","","","","","","","N","N","","N","","0","3","7","5","",""
"1669","0","Site Help / FAQ","1","3","/help.asp","3/7/2018 12:10:00 PM","","","","","","","","N","","","","","","","1669","Help/FAQ | Luggage City","","","","772","","","N","","","N","","","","","","","N","N","","N","","0","3","7","5","",""
"1670","0","About Us","1","3","/aboutus.asp","3/16/2018 4:24:00 PM","","","","","","","","N","","","","","","","1670","About Us | Luggage City","","","About Us","772","","","N","","","N","","","","","","","N","N","","N","","0","3","7","5","",""
"1814","0","Luggage","8","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1814","Luggage | Luggage City","","Popularity","Luggage","772","","","Y","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Luggage</inline></h1>","","","","","N","N","","N","","0","3","7","5","",""
"1815","1814","Hardcase Luggage","4","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1814","Hardcase Luggage | Luggage City","","Popularity","Hardcase Luggage","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Hardcase Luggage</inline></h1>","travel luggage, lightweight luggage, Heys, Samsonite, Delsey, Briggs Riley, Verage, Delsey, spinner luggage, luggage sale, hardcase luggage sale, carry on luggage, luggage sets, luggage Canada, luggage toronto,","","","","N","N","","N","Luggage","0","3","7","5","",""
