id,headinggroup,optioncategoriesdesc,isrequired,displaytype,arrangeoptioncategoriesby,lastmodified,lastmodby,hide_optioncategoriesdesc,include_in_search_refinement,aboutoptioncategories,use_google_size,use_google_color,use_google_material,use_google_pattern
"29","Color","Color","Y","DROPDOWN","10","7/7/2011 11:39:00 AM","1","Y","N","","","","",""
"36","","Color(Jansport)","N","DROPDOWN","0","2/14/2014 3:25:00 PM","4","Y","N","Jansport Color","N","N","N","N"
"37","","Color(LeSportsac)","N","DROPDOWN","","2/13/2014 11:04:00 AM","4","N","N","","","","",""
"38","","Color(High Sierra)","N","DROPDOWN","","6/10/2014 12:27:00 PM","4","N","N","","","","",""
"40","","Heys","N","DROPDOWN","","2/11/2015 8:19:00 PM","1","N","N","","","","",""
"42","","SECRID","N","DROPDOWN","","6/19/2015 8:21:00 AM","169","N","N","","","","",""
"45","","Gate 8","N","DROPDOWN","","11/13/2015 8:53:00 AM","1","N","N","","","","",""
"47","","Light Blue ","N","DROPDOWN","","3/9/2016 12:04:00 PM","426","N","N","","","","",""
"48","","Color (Fulton)","N","DROPDOWN","","3/21/2016 2:46:00 PM","1","N","N","","","","",""
"49","","Secrid","N","DROPDOWN","","4/11/2017 2:53:00 PM","772","N","N","","","","",""
"50","","Trochi","N","DROPDOWN","","4/25/2017 3:10:00 PM","772","N","N","","","","",""
"51","","WillLand","N","DROPDOWN","","5/23/2017 3:13:00 PM","772","N","N","","","","",""
"52","","OGIO","N","DROPDOWN","","6/14/2017 12:16:00 PM","772","N","N","","","","",""
"53","","Size(Luggage)","N","DROPDOWN","","6/26/2017 1:04:00 PM","772","N","N","","","","",""
"54","","Pacsafe","N","DROPDOWN","","8/28/2017 2:06:00 PM","267","N","N","","","","",""
"55","","American Tourist","N","DROPDOWN","","11/8/2017 1:59:00 PM","267","N","N","","","","",""
"56","","Black/Charcoal","N","DROPDOWN","","12/18/2017 8:38:00 AM","772","N","N","","","","",""
