orderdetailid,orderid,productcode,productname,quantity,downloadfile,productprice,totalprice,shipped,shipdate,gifttraknumber,locked,onorder_qty,giftwrap,giftwrapnote,giftwrapcost,lastmodified,optionids,rma_number,rmai_id,returned,returned_date,product_keys_shipped,iskitid,kitid,fixed_shippingcost,fixed_shippingcost_outside_localregion,optionid,warehouses,productweight,affiliate_commissionable_value,customlineitem,taxableproduct,freeshippingitem,productnote,qtyonbackorder,qtyonhold,qtyshipped,autodropship,lastmodby,vendor_price,categoryid,options,qtyonpackingslip,couponcode,discountautoid,discounttype,discountvalue,vat_percentage,reward_points_given_for_purchase,length,width,height,ships_by_itself,package_type,oversized,additional_handling_indicator,orderdetailid_third_party,orderdetailid_third_party_link,freeshippingdiscount,nonshippable
"1","1","T501-008","Jansport Superbreak Backpack - 008-Black","0","","34.99","34.99","","","0","Y","0","","","0","","","","","","","","","","","","","","0.3","","","","Y","","0","0","0","N","","","","","","","","","","","","","","","","","","","","","",""
"2","2","51119XXXX","Samsonite Silhouette Sphere (Softside) 29"" Expendable Spinner","0","","299.99","299.99","","","0","Y","0","","","0","","167","","","","","","","","","","","1","13.23","","","Y","Y","","0","0","0","N","","","","[Color:Black]","","","","","","","","","","","","","","","","","",""
"3","3","DES24582","Delsey U-Lite 28"" Expandable Spinner","0","","149.99","149.99","","","0","N","0","","","0","","167","","","","","","","","","","","","7.9","","","","Y","","0","0","0","N","","","","[Color:Black]","","","","","","","","","","","","","","","","","",""
"4","4","DES24582","Delsey U-Lite 28"" Expandable Spinner","0","","149.99","149.99","","","0","N","0","","","0","","167","","","","","","","","","","","","7.9","","","","Y","","0","0","0","N","","","","[Color:Black]","","","","","","","","","","","","","","","","","",""
"5","5","DES24582","Delsey U-Lite 28"" Expandable Spinner","0","","149.99","149.99","","","0","N","0","","","0","","167","","","","","","","","","","","","7.9","","","","Y","","0","0","0","N","","","","[Color:Black]","","","","","","","","","","","","","","","","","",""
"6","6","DES24582","Delsey U-Lite 28"" Expandable Spinner","0","","149.99","149.99","","","0","N","0","","","0","","167","","","","","","","","","","","","7.9","","","","Y","","0","0","0","N","","","","[Color:Black]","","","","","","","","","","","","","","","","","",""
"7","7","DES24582","Delsey U-Lite 28"" Expandable Spinner","0","","149.99","149.99","","","0","N","0","","","0","","167","","","","","","","","","","","","7.9","","","","Y","","0","0","0","N","","","","[Color:Black]","","","","","","","","","","","","","","","","","",""
"8","8","T501-008","Jansport Superbreak Backpack - 008-Black","0","","34.99","34.99","","","0","Y","0","","","0","","","","","","","","","","","","","","0.3","","","","Y","","0","0","0","N","","","","","","","","","","","","","","","","","","","","","",""
"9","8","DSC-17","Staff Discount","1","","-34.64","-34.64","","","0","Y","0","","","0","","","","","","","","","","","","","","0","","","N","Y","","0","0","0","","","","","","","SP01","","4","99","","","","","","","","","","","","",""
"10","9","T501-008","Jansport Superbreak Backpack - 008-Black","0","","34.99","34.99","","","0","Y","0","","","0","","","","","","","","","","","","","","0.3","","","","Y","","0","0","0","N","","","","","","","","","","","","","","","","","","","","","",""
"11","9","DSC-17","Staff Discount","1","","-34.64","-34.64","","","0","Y","0","","","0","","","","","","","","","","","","","","0","","","N","Y","","0","0","0","","","","","","","SP01","","4","99","","","","","","","","","","","","",""
"12","10","A3028RX","Antler Cyberlite 28"" Expandable Spinner","1","","169.99","169.99","","6/10/2014 2:02:00 PM","0","Y","0","","","0","","167","","","","","","","","","","","","43.32","","","Y","Y","","0","0","1","","","","","[Color:Black]","1","","","","","","","","","","","","","","","","",""
"13","10","A3025RX","Antler Cyberlite 25"" Expandable Spinner","1","","159.99","159.99","","6/10/2014 2:02:00 PM","0","Y","0","","","0","","167","","","","","","","","","","","","29.85","","","Y","Y","","0","0","1","","","","","[Color:Black]","1","","","","","","","","","","","","","","","","",""
"14","11","DES24582","Delsey U-Lite 28"" Expandable Spinner","1","","149.99","149.99","","6/18/2014 1:18:00 PM","0","Y","0","","","0","","179","","","","","","","","","","","","34.33","","","Y","Y","","0","0","1","","","","","[Color:Iguana]","1","","","","","","","","","","","","","","","","",""
"15","12","THE9-ZT8","Jansport Wheeled Superbreak Backpack - ZT8-Coral Dust Dots","1","","89.99","89.99","","7/14/2014 1:59:00 PM","0","Y","0","","","0","","","","","","","","","","","","","","14.14","","","Y","Y","","0","0","1","","","","","","1","","","","","","","","","","","","","","","","",""
"16","13","SWA1811","Swiss Gear Tablet Sling Bag","1","","45","45","","7/17/2014 5:17:00 PM","0","Y","0","","","0","","167","","","","","","","","","","","","2","","","Y","Y","","0","0","1","","","","","[Color:Black]","1","","","","","","","","","","","","","","","","",""
"17","14","GM12107W2PC","Verage GM12107 Series 19""+24"" 2 Piece Expandable Spinner Luggage Set","0","","125","125","","","0","Y","0","","","0","","181","","","","","","","","","","","1","29.17","","","Y","Y","","0","0","0","N","","","","[Color:Rose]","","","","","","","","","","","","","","","","","",""
"18","15","T501-ZE2","Jansport Superbreak Backpack - ZE2-Zap Green Splash","0","","34.99","34.99","","","0","Y","0","","","0","","","","","","","","","","","","","","0.3","","","","Y","","0","0","0","N","","","","","","","","","","","","","","","","","","","","","",""
"19","16","T501-ZE2","Jansport Superbreak Backpack - ZE2-Zap Green Splash","1","","34.99","34.99","","7/21/2014 10:07:00 AM","0","Y","0","","","0","","","","","","","","","","","","","","0.3","","","Y","Y","","0","0","1","","","","","","1","","","","","","","","","","","","","","","","",""
"20","17","HL810","Aoking 20"" Nylon Wheeled Backpack","1","","69.99","69.99","","7/24/2014 10:28:00 AM","0","Y","0","","","0","","174","","","","","","","","","","","","12","","","Y","Y","","0","0","1","","","","","[Color:Red]","1","","","","","","","","","","","","","","","","",""
"21","17","DSC-25","15% off Entire Order","1","","-7","-7","","7/24/2014 10:28:00 AM","0","Y","0","","","0","","","","","","","","","","","","","","0","","","N","Y","","0","0","0","","","","","","","NC2014","","4","10","","","","","","","","","","","","",""
"22","18","DES24582","Delsey U-Lite 28"" Expandable Spinner","2","","149.99","299.98","","7/30/2014 8:10:00 AM","0","Y","0","","","0","","167","","","","","","","","","","","","34.33","","","Y","Y","","0","0","2","","","","","[Color:Black]","2","","","","","","","","","","","","","","","","",""
"23","18","DSC-25","15% off Entire Order","1","","-30","-30","","7/30/2014 8:10:00 AM","0","Y","0","","","0","","","","","","","","","","","","","","0","","","N","Y","","0","0","0","","","","","","","NC2014","","4","10","","","","","","","","","","","","",""
"24","19","A3021RX","Antler Cyberlite 21"" Expandable Carry-on Spinner","3","","145","435","","7/31/2014 5:44:00 PM","0","Y","0","","","0","","167","","","","","","","","","","","","13.59","","","Y","Y","","0","0","3","","","","","[Color:Black]","3","","","","","","","","","","","","","","","","",""
"25","20","DES224XX","Delsey Extreme Lite 2.0 21""+25"" 2 Piece Softside Spinner Luggage Combo","1","","159.99","159.99","","8/7/2014 3:48:00 PM","0","Y","0","","","0","","177","","","","","","","","","","","","13.6","","","Y","N","","0","0","1","","","","","[Color:Orange]","1","","","","","","","","","","","","","","","","",""
"26","20","DSC-25","15% off Entire Order","1","","-16","-16","","8/7/2014 3:48:00 PM","0","Y","0","","","0","","","","","","","","","","","","","","0","","","N","Y","","0","0","0","","","","","","","NC2014","","4","10","","","","","","","","","","","","",""
"27","21","TDN7-2C9","Jansport Big Student Backpack - 2C9-Coral Dusk","1","","44.99","44.99","","8/11/2014 9:55:00 AM","0","Y","0","","","0","","","","","","","","","","","","","","1.32","","","Y","Y","","0","0","1","","","","","","1","","","","","","","","","","","","","","","","",""
"28","21","TDN7-9RW","Jansport Big Student Backpack - 9RW-Mammoth Blue","1","","44.99","44.99","","8/11/2014 9:55:00 AM","0","Y","0","","","0","","","","","","","","","","","","","","1.32","","","Y","Y","","0","0","1","","","","","","1","","","","","","","","","","","","","","","","",""
"29","22","58749XXXX","Samsonite Liftwo Carry-on Wheeled Garment Bag","0","","189.99","189.99","","","0","N","0","","","0","","167","","","","","","","","","","","1","16.4","","","Y","Y","","0","0","0","","","","","[Color:Black]","","","","","","","","","","","","","","","","","",""
"30","23","60140-100","Pacsafe Venturesafe 100 GII Anti Theft Hip Pack - Black","1","","65","65","","8/13/2014 10:53:00 AM","0","Y","0","","","0","","","","","","","","","","","","","","0.58","","","Y","Y","","0","0","1","","","","","","1","","","","","","","","","","","","","","","","",""
"31","24","A3028RX","Antler Cyberlite 28"" Expandable Spinner","2","","169.99","339.98","","8/13/2014 6:08:00 PM","0","Y","0","","","0","","167","","","","","","","","","","","","43.32","","","Y","Y","","0","0","2","","","","","[Color:Black]","2","","","","","","","","","","","","","","","","",""
"32","24","A3025RX","Antler Cyberlite 25"" Expandable Spinner","2","","159.99","319.98","","8/13/2014 6:08:00 PM","0","Y","0","","","0","","167","","","","","","","","","","","","29.85","","","Y","Y","","0","0","2","","","","","[Color:Black]","2","","","","","","","","","","","","","","","","",""
"33","25","53646-3918","High Sierra Loop Backpack - 3918-Bright Flight","1","","29.99","29.99","","8/21/2014 10:06:00 AM","0","Y","0","","","0","","","","","","","","","","","","","","1","","","Y","Y","","0","0","1","","","","","","1","","","","","","","","","","","","","","","","",""
"34","26","T38Z-1X0","Jansport Stormy Weather Backpack - 1X0-Overdye Blue","1","","49.99","49.99","","8/22/2014 9:54:00 AM","0","Y","0","","","0","","","","","","","","","","","","","","0.66","","","Y","Y","","0","0","1","","","","","","1","","","","","","","","","","","","","","","","",""
"35","27","SWA2107","Swiss Gear RFID Blocking Laptop/Tablet Wheeled Backpack","1","","99.99","99.99","","8/25/2014 12:12:00 PM","0","Y","0","","","0","","167","","","","","","","","","","","","13.33","","","Y","Y","","0","0","1","","","","","[Color:Black]","1","","","","","","","","","","","","","","","","",""
"36","27","DSC-25","10% off Entire Order","1","","-10","-10","","8/25/2014 12:12:00 PM","0","Y","0","","","0","","","","","","","","","","","","","","0","","","N","Y","","0","0","0","","","","","","","NC2014","","4","10","","","","","","","","","","","","",""
"37","28","B60786","WillLand Outdoors College Luminosa Forte Backpack","1","","59.99","59.99","","8/27/2014 9:34:00 AM","0","Y","0","","","0","","345","","","","","","","","","","","","4.23","","","Y","Y","","0","0","1","","","","","[Color:Dark Night (Black)]","","","","","","","","","","","","","","","","","",""
"38","28","DSC-28","BTS 2014 [B60786]","1","","-6.9","-6.9","","8/27/2014 9:34:00 AM","0","Y","0","","","0","","","","","","","","","","","","","","0","","","N","","","0","0","0","","","","","","","BTS2014","","1","11.5","","","","","","","","","","","","",""
